Country,Composite_Score,Health,Ecosystems,Waste,Climate,Rank
Aruba,0.22148320192588997,0.707493484128058,0.5209805685402895,0.563869959120414,-0.9064112040852016,46
Estonia,0.22049127694063297,0.9506693501280606,0.333852332979749,1.3581574662569802,-1.7607140416022582,47
"Bahamas, The",0.21959994206748934,0.4046698148005592,0.5540671062268471,0.4082945174582837,-0.48863167021573256,48
Netherlands,0.21310233754133334,1.561010624508607,0.03605348636577381,0.5208886310583691,-1.2655433917674164,49
Ecuador,0.2103199298804676,0.19072488905581653,0.172774715303823,0.3899142176077067,0.08786589755452408,50
Slovenia,0.19837886446855746,0.8434793974101209,0.3523665472693261,0.4417703474770481,-0.8441008342822651,51
Cyprus,0.1958376165994241,1.0718173950721503,0.2928752074310272,0.0032685465083955867,-0.5846106826138766,52
Isle of Man,0.1944046484407692,1.4674200288382329,0.07285117977675105,0.44315231731081806,-1.205804932162725,53
Trinidad and Tobago,0.1901924622155142,0.6372138505930491,0.5373479610973475,-0.4077441698105835,-0.00604779301775636,54
Kuwait,0.18516354534933777,0.4373010785939589,0.8718768110337525,-0.5624759152126039,-0.00604779301775636,55
"Hong Kong SAR, China",0.1840761562205983,-0.2814221425431806,0.6075608743313814,0.8804434768951765,-0.47027758380098406,56
"Macao SAR, China",0.18181050953692307,0.31953659760439007,0.5378704806752503,-0.39066066765958535,0.26049562752763733,57
Greece,0.16826517059193644,1.0767483259419741,0.22337837516772735,0.1155222993823049,-0.7425883181242606,58
Poland,0.1540506336634797,0.3925567888266519,0.15068081236288305,1.2173947358962616,-1.1444298024318778,59
Armenia,0.12796655975115284,-0.1278587673264186,0.7407236686307128,-0.4640199827300881,0.3630213204304053,60
Dominica,0.1264803505655835,0.10838142514139974,0.18867645182237647,-0.10357689456636193,0.31244041986491966,61
Belgium,0.1261080352734622,1.1940066092158288,-0.31150328032328545,0.8167446735169835,-1.194815861315678,62
Malawi,0.11950945904231597,-0.8094045556319542,0.2715320491391736,-0.8572119475015625,1.873122290163607,63
Israel,0.10963252366405501,1.311312839530634,-0.501937853683294,0.6420667761032282,-1.012911667294348,64
"Congo, Dem. Rep.",0.10842204552138107,-0.9968201564933985,0.44457673787077734,-0.8871906894554616,1.873122290163607,65
Nauru,0.10354888699469152,0.10684586817751074,0.43874469223870893,0.17474793871189304,-0.3061429511493467,66
Albania,0.10317651923865373,-0.050589722777160985,0.13434018230644143,-0.05861575489740958,0.387571372322744,67
Niger,0.10159635285506724,-1.189742465653063,0.5823454967903516,-0.1969950971598577,1.2107774774428381,68
Portugal,0.10043826326213451,1.050186651582867,-0.025475920443894406,0.18887737370475646,-0.8118350517951911,69
Kosovo,0.08447621080613243,0.8393624441509456,0.0122247474806369,1.1872152969178402,-1.700897645324893,70
Croatia,0.0831185232243502,0.5104628696486512,0.16129693225104483,0.07292905365649047,-0.41221476265878565,71
Hungary,0.08224845529606623,0.18086837709600947,-0.08771375329729406,0.7649589690554728,-0.5291197716699233,72
